Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
    name        t90     
GRB080714086   5.376
GRB080714425  40.192
GRB080714745  59.649
GRB080715950   7.872
GRB080717543  36.608
GRB080719529  16.128
GRB080723557  58.369
GRB080723913   0.192
GRB080723985  42.816
GRB080724401 379.397
GRB080725435  25.920
GRB080725541   0.960
GRB080727964  89.089
GRB080730520  17.408
GRB080730786  13.312
GRB080802386   0.576
GRB080803772  26.240
GRB080804456 521.862
GRB080804972  24.704
GRB080805496  29.440
GRB080805584  65.665
GRB080806584   2.304
GRB080806896  75.777
GRB080807993  19.072
GRB080808451   4.352
GRB080808565  17.728
GRB080808772 210.178
GRB080809808  28.160
GRB080810549  75.201
GRB080812889  15.040
GRB080815917   0.832
GRB080816503  64.769
GRB080816989   4.608
GRB080817161  60.289
GRB080817720   4.416
GRB080818579  59.329
GRB080818945  13.376
GRB080821332   5.888
GRB080823363  43.456
GRB080824909   7.424
GRB080825593  20.992
GRB080828189   3.008
GRB080829790   7.680
GRB080830368  40.897
GRB080831053   0.576
GRB080831921  74.497
GRB080904886  17.344
GRB080905499   0.960
GRB080905570  26.624
GRB080905705 105.984
GRB080906212   2.875
GRB080912360  16.384
GRB080913735  41.217
GRB080916009  62.977
GRB080916406  46.337
GRB080919790   0.512
GRB080920268 113.921
GRB080924766  39.937
GRB080925775  31.744
GRB080927480  45.313
GRB080928628  14.336
GRB081003644  50.177
GRB081006604   6.400
GRB081006872   3.328
GRB081008832 126.722
GRB081009140  41.345
GRB081009690  34.560
GRB081012045   1.216
GRB081012549  30.721
GRB081017474  28.416
GRB081021398  26.112
GRB081022364  17.152
GRB081024245   0.832
GRB081024851  56.065
GRB081024891   0.640
GRB081025349  22.528
GRB081028538  13.312
GRB081101167   9.984
GRB081101491   0.128
GRB081101532   8.256
GRB081102365   1.728
GRB081102739  34.816
GRB081105614   1.280
GRB081107321   1.664
GRB081109293  58.369
GRB081110601  11.776
GRB081113230   0.576
GRB081115891   0.320
GRB081118876  20.736
GRB081119184   0.320
GRB081120618  25.344
GRB081121858  41.985
GRB081122520  23.296
GRB081122614   0.192
GRB081124060  19.456
GRB081125496   9.280
GRB081126899  54.145
GRB081129161  62.657
GRB081130212   2.240
GRB081130629  39.169
GRB081204004   7.424
GRB081204517   0.192
GRB081206275  24.576
GRB081206604   7.936
GRB081206987  22.528
GRB081207680  97.281
GRB081209981   0.192
GRB081213173   0.256
GRB081215784   5.568
GRB081215880   7.680
GRB081216531   0.768
GRB081217983  29.696
GRB081221681  29.697
GRB081222204  18.880
GRB081223419   0.576
GRB081224887  16.448
GRB081225257  41.217
GRB081226044   0.832
GRB081226156  83.713
GRB081226509   0.192
GRB081229187   0.768
GRB081229675   0.032
GRB081230871   0.512
GRB081231140  28.736
GRB090101758 108.802
GRB090102122  26.624
GRB090107681  18.432
GRB090108020   0.704
GRB090108322   0.192
GRB090109332   1.728
GRB090112332  58.369
GRB090112729  14.080
GRB090113778  17.408
GRB090117335  27.264
GRB090117632  86.017
GRB090117640  15.552
GRB090120627   1.856
GRB090126227   5.632
GRB090126245   0.960
GRB090129880  16.640
GRB090131090  35.073
GRB090202347  12.608
GRB090206620   0.320
GRB090207777  24.832
GRB090213236  20.224
GRB090217206  33.281
GRB090219074   0.448
GRB090222179  17.408
GRB090225009   2.176
GRB090227310  16.189
GRB090227772   0.304
GRB090228204   0.448
GRB090228976   7.936
GRB090301315  23.296
GRB090304216   2.816
GRB090305052   1.856
GRB090306245  27.904
GRB090307167  29.440
GRB090308734   1.664
GRB090309767  56.513
GRB090310189 116.930
GRB090316311  10.240
GRB090319622  54.785
GRB090320045   2.368
GRB090320418   7.936
GRB090320801  29.184
GRB090323002 133.890
GRB090326633  16.128
GRB090327404  14.080
GRB090328401  61.697
GRB090328713   0.192
GRB090330279  75.265
GRB090331681   0.832
GRB090403314  14.848
GRB090405663   0.448
GRB090409288  30.337
GRB090411838  21.501
