Results from heasarc_swiftgrb: Swift Gamma Ray Bursts Catalog
Coordinate system:  Equatorial
name       redshift
GRB060218   0.0334
GRB100316D  0.0590
GRB051109B  0.0800
GRB060505   0.0889
GRB080905A  0.1218
GRB060614   0.1257
GRB050709   0.1600
GRB070809   0.2187
GRB050509B  0.2249
GRB050724   0.2580
GRB120422A  0.2830
GRB060502B  0.2870
GRB050826   0.2970
GRB041219A  0.3000
GRB120624B  0.3000
GRB090417B  0.3450
GRB061021   0.3463
GRB071227   0.3830
GRB120714B  0.3984
GRB061210   0.4095
GRB101213A  0.4140
GRB061006   0.4377
GRB060117   0.4500
GRB070724A  0.4570
GRB111211A  0.4780
GRB051117B  0.4810
GRB091127   0.4903
GRB081007   0.5295
GRB090618   0.5400
GRB100621A  0.5420
GRB060729   0.5428
GRB090424   0.5440
GRB051221A  0.5465
GRB101219B  0.5519
GRB070521   0.5530
GRB050223   0.5840
GRB100213B  0.6040
GRB050525A  0.6060
GRB070612A  0.6170
GRB110106B  0.6180
GRB100418A  0.6235
GRB050416A  0.6528
GRB111209A  0.6770
GRB080916A  0.6887
GRB070518   0.7000
GRB081221   0.7000
GRB060904B  0.7029
GRB051227   0.7140
GRB111228A  0.7163
GRB101219A  0.7180
GRB050813   0.7220
GRB090328A  0.7354
GRB061110A  0.7578
GRB061028   0.7600
GRB080430   0.7670
GRB060202   0.7830
GRB060602   0.7870
GRB051022   0.8000
GRB120729A  0.8000
GRB100816A  0.8035
GRB070508   0.8200
GRB110715A  0.8200
GRB071112C  0.8227
GRB061217   0.8270
GRB050824   0.8281
GRB080825B  0.8300
GRB070318   0.8397
GRB080710   0.8454
GRB101225A  0.8740
GRB091003   0.8969
GRB090510   0.9030
GRB070429B  0.9040
GRB100117A  0.9150
GRB070714B  0.9200
GRB051016B  0.9364
GRB060912A  0.9370
GRB080319B  0.9382
GRB071010B  0.9470
GRB120722A  0.9586
GRB120907A  0.9700
GRB070419A  0.9705
GRB091018   0.9710
GRB110918A  0.9840
GRB071010A  0.9850
GRB110402A  1.0000
GRB121211A  1.0230
GRB080411   1.0301
GRB110726A  1.0360
GRB051006   1.0590
GRB091208B  1.0633
GRB110213B  1.0830
GRB091024   1.0920
GRB060123   1.0990
GRB070724B  1.1000
GRB080413B  1.1014
GRB060801   1.1310
GRB071122   1.1400
GRB061126   1.1588
GRB070208   1.1650
GRB100316B  1.1800
GRB080707   1.2322
GRB050408   1.2357
GRB090926B  1.2400
GRB061007   1.2622
GRB090530   1.2800
GRB100724A  1.2880
GRB050126   1.2900
GRB060805B  1.3000
GRB060928   1.3000
GRB100805A  1.3000
GRB061121   1.3145
GRB071117   1.3308
GRB110808A  1.3480
GRB100414A  1.3680
GRB090927   1.3700
GRB050801   1.3800
GRB111229A  1.3805
GRB100901A  1.4080
GRB080604   1.4171
GRB050822   1.4340
GRB100814A  1.4400
GRB050318   1.4436
GRB090407   1.4485
GRB120711A  1.4510
GRB110213A  1.4600
GRB120724A  1.4800
GRB060418   1.4901
GRB070306   1.4965
GRB060502A  1.5026
GRB080805   1.5042
GRB080330   1.5119
GRB060719   1.5320
GRB080520   1.5457
GRB090102   1.5470
GRB070125   1.5477
GRB051111   1.5495
GRB070420   1.5600
GRB110420A  1.6000
GRB071003   1.6043
GRB090418A  1.6080
GRB110503A  1.6130
GRB080605   1.6403
GRB080603A  1.6880
GRB080928   1.6919
GRB060313   1.7000
GRB121209A  1.7000
GRB091020   1.7100
GRB050802   1.7102
GRB100906A  1.7270
GRB120119A  1.7280
GRB090113   1.7493
GRB100425A  1.7550
GRB110422A  1.7700
GRB121027A  1.7730
GRB120326A  1.7980
GRB060904A  1.8400
GRB110801A  1.8580
GRB090902B  1.8829
GRB060908   1.8836
GRB060708   1.9200
GRB060814   1.9229
GRB080319C  1.9492
GRB050315   1.9500
GRB070419B  1.9588
GRB081008   1.9685
GRB060825   2.0000
GRB060901   2.0000
GRB080906   2.0000
GRB101024A  2.0000
GRB121212A  2.0000
GRB060108   2.0300
GRB081230   2.0300
GRB070611   2.0394
GRB081203A  2.0500
GRB080207   2.0858
GRB061222A  2.0880
GRB060512   2.1000
GRB100728B  2.1060
GRB090926A  2.1062
GRB060604   2.1357
GRB071020   2.1462
GRB070220   2.1500
GRB070810A  2.1700
GRB050922C  2.1995
GRB090814A  2.2000
GRB121128A  2.2000
GRB080804   2.2045
GRB110205A  2.2200
GRB060124   2.2970
GRB121024A  2.2980
GRB080514B  2.3000
GRB070506   2.3090
GRB070129   2.3384
GRB110128A  2.3390
GRB051109A  2.3460
GRB070110   2.3521
GRB120815A  2.3580
GRB080905B  2.3739
GRB060813   2.3800
GRB070917   2.4000
GRB081126   2.4000
GRB080310   2.4274
GRB051001   2.4296
GRB080413A  2.4330
GRB050406   2.4400
GRB071021   2.4520
GRB090812   2.4520
GRB070802   2.4541
GRB120716A  2.4860
GRB070529   2.4996
GRB060805A  2.5000
GRB080328   2.5000
GRB110102A  2.5000
GRB050819   2.5043
GRB081121   2.5120
GRB050915A  2.5273
GRB081118   2.5800
GRB080721   2.5914
GRB090426   2.6090
GRB050820A  2.6147
GRB070103   2.6208
GRB090529A  2.6250
GRB080210   2.6419
GRB120811C  2.6710
GRB080603B  2.6892
GRB071031   2.6918
GRB110530A  2.7000
GRB121123A  2.7000
GRB121229A  2.7070
GRB090726   2.7100
GRB060714   2.7108
GRB090809A  2.7370
GRB091029   2.7520
GRB081222   2.7700
GRB060923A  2.8000
GRB120327A  2.8130
GRB050603   2.8210
GRB110731A  2.8300
GRB120404A  2.8760
GRB111107A  2.8930
GRB050401   2.8983
GRB070411   2.9538
GRB070616   3.0000
GRB080506   3.0000
GRB080523   3.0000
GRB090401B  3.0000
GRB090509   3.0000
GRB090715B  3.0000
GRB101117B  3.0000
GRB120311A  3.0000
GRB120819A  3.0000
